date,open,high,low,close,volume
2025-01-05 19:00:00-05:00,79.15,79.19,79.015,79.1,32109964.0
2025-01-06 19:00:00-05:00,79.14,79.22,78.82,78.84,43790271.0
2025-01-07 19:00:00-05:00,78.85,78.985,78.76,78.94,35304925.0
2025-01-09 19:00:00-05:00,78.8,78.8,78.5,78.53,37417324.0
2025-01-12 19:00:00-05:00,78.49,78.5599,78.37,78.51,39180736.0
2025-01-13 19:00:00-05:00,78.69,78.73,78.55,78.61,29581091.0
2025-01-14 19:00:00-05:00,79.16,79.31,79.06,79.3,53574907.0
2025-01-15 19:00:00-05:00,79.21,79.41,79.12,79.39,32363017.0
2025-01-16 19:00:00-05:00,79.49,79.52,79.39,79.46,29546411.0
2025-01-20 19:00:00-05:00,79.61,79.7,79.6,79.67,32962685.0
2025-01-21 19:00:00-05:00,79.7,79.72,79.52,79.56,25028455.0
2025-01-22 19:00:00-05:00,79.52,79.67,79.44,79.66,27434759.0
2025-01-23 19:00:00-05:00,79.7,79.83,79.655,79.75,23648646.0
2025-01-26 19:00:00-05:00,79.67,79.86,79.61,79.81,28540616.0
2025-01-27 19:00:00-05:00,79.77,79.81,79.67,79.78,30439940.0
2025-01-28 19:00:00-05:00,79.76,79.83,79.62,79.73,20072067.0
2025-01-29 19:00:00-05:00,79.94,79.94,79.79,79.88,34495296.0
2025-01-30 19:00:00-05:00,79.9,79.97,79.67,79.72,37102560.0
2025-02-02 19:00:00-05:00,79.17,79.37,79.04,79.26,29965126.0
2025-02-03 19:00:00-05:00,79.3,79.51,79.23,79.51,28938689.0
2025-02-04 19:00:00-05:00,79.54,79.77,79.54,79.72,31833950.0
2025-02-05 19:00:00-05:00,79.72,79.7899,79.58,79.6,24224138.0
2025-02-06 19:00:00-05:00,79.56,79.58,79.34,79.35,28778233.0
2025-02-09 19:00:00-05:00,79.54,79.59,79.475,79.51,23382632.0
2025-02-10 19:00:00-05:00,79.53,79.53,79.4,79.48,24409961.0
2025-02-11 19:00:00-05:00,79.21,79.4348,79.15,79.31,34362665.0
2025-02-12 19:00:00-05:00,79.43,79.7,79.38,79.67,36149856.0
2025-02-13 19:00:00-05:00,79.79,79.89,79.72,79.76,26668299.0
2025-02-17 19:00:00-05:00,79.75,79.81,79.64,79.69,23274170.0
2025-02-18 19:00:00-05:00,79.64,79.76,79.56,79.75,38958643.0
2025-02-19 19:00:00-05:00,79.74,79.82,79.68,79.8,25788992.0
2025-02-20 19:00:00-05:00,79.77,79.86,79.65,79.65,32016533.0
2025-02-23 19:00:00-05:00,79.67,79.84,79.64,79.75,21029215.0
2025-02-24 19:00:00-05:00,79.95,79.98,79.84,79.95,30604372.0
2025-02-25 19:00:00-05:00,80.0,80.08,79.97,80.06,21777536.0
2025-02-26 19:00:00-05:00,80.05,80.08,79.87,79.91,40521829.0
2025-02-27 19:00:00-05:00,79.99,80.13,79.93,80.13,44321206.0
2025-03-02 19:00:00-05:00,79.69,79.75,79.51,79.59,40729053.0
2025-03-03 19:00:00-05:00,79.51,79.64,79.31,79.58,66274626.0
2025-03-04 19:00:00-05:00,79.45,79.68,79.44,79.62,32302355.0
2025-03-05 19:00:00-05:00,79.43,79.495,79.28,79.32,50431456.0
2025-03-06 19:00:00-05:00,79.35,79.51,79.33,79.45,52828899.0
2025-03-09 20:00:00-04:00,79.3,79.38,79.14,79.15,57247976.0
2025-03-10 20:00:00-04:00,79.21,79.26,78.8,78.87,75826740.0
2025-03-11 20:00:00-04:00,79.06,79.11,78.88,78.96,53762970.0
2025-03-12 20:00:00-04:00,78.86,78.87,78.49,78.52,81223202.0
2025-03-13 20:00:00-04:00,78.83,78.97,78.71,78.88,51469803.0
2025-03-16 20:00:00-04:00,78.89,79.1,78.87,79.07,33954298.0
2025-03-17 20:00:00-04:00,79.01,79.065,78.925,78.93,40195885.0
2025-03-18 20:00:00-04:00,78.96,79.54,78.96,79.45,45212676.0
2025-03-19 20:00:00-04:00,79.39,79.5,79.255,79.34,42977552.0
2025-03-20 20:00:00-04:00,79.27,79.305,79.07,79.22,35123981.0
2025-03-23 20:00:00-04:00,79.42,79.5,79.345,79.45,36393533.0
2025-03-24 20:00:00-04:00,79.5,79.5801,79.38,79.41,29075519.0
2025-03-25 20:00:00-04:00,79.4,79.42,78.97,79.09,52260969.0
2025-03-26 20:00:00-04:00,79.05,79.14,78.925,78.94,38493073.0
2025-03-27 20:00:00-04:00,78.99,79.0,78.66,78.8,58896893.0
2025-03-30 20:00:00-04:00,78.52,78.92,78.52,78.89,47853537.0
2025-03-31 20:00:00-04:00,78.68,78.72,78.43,78.69,54255975.0
2025-04-01 20:00:00-04:00,78.54,78.86,78.54,78.85,49072370.0
2025-04-02 20:00:00-04:00,78.1,78.28,77.74,77.87,116401423.0
2025-04-03 20:00:00-04:00,76.8,77.335,76.54,76.76,181273252.0
2025-04-06 20:00:00-04:00,75.87,77.6,75.6303,76.1,193374827.0
2025-04-07 20:00:00-04:00,77.02,77.13,75.42,75.75,106007664.0
2025-04-08 20:00:00-04:00,75.1,77.84,75.08,77.78,152382178.0
2025-04-09 20:00:00-04:00,77.07,77.18,76.14,76.51,93884086.0
2025-04-10 20:00:00-04:00,76.27,77.17,76.0,76.74,71883967.0
2025-04-13 20:00:00-04:00,77.28,77.46,76.94,77.12,50011416.0
2025-04-14 20:00:00-04:00,77.24,77.5,77.18,77.33,39790523.0
2025-04-15 20:00:00-04:00,77.35,77.52,77.11,77.32,52028772.0
2025-04-16 20:00:00-04:00,77.62,77.79,77.53,77.77,37355457.0
2025-04-20 20:00:00-04:00,77.49,77.51,77.15,77.31,36078039.0
2025-04-21 20:00:00-04:00,77.58,77.805,77.505,77.61,33941145.0
2025-04-22 20:00:00-04:00,78.6,78.74,77.97,78.0,63723369.0
2025-04-23 20:00:00-04:00,78.28,78.74,78.18,78.7,49007840.0
2025-04-24 20:00:00-04:00,78.59,78.935,78.54,78.77,47981696.0
2025-04-27 20:00:00-04:00,78.78,78.8718,78.55,78.81,42220674.0
2025-04-28 20:00:00-04:00,78.65,79.05,78.65,79.02,51198585.0
2025-04-29 20:00:00-04:00,78.63,78.71,78.46,78.6,69994186.0
2025-04-30 20:00:00-04:00,78.395,78.485,78.22,78.3,50848596.0
2025-05-01 20:00:00-04:00,78.5,78.61,78.365,78.54,41354141.0
2025-05-04 20:00:00-04:00,78.47,78.64,78.4,78.51,39815409.0
2025-05-05 20:00:00-04:00,78.41,78.52,78.325,78.45,36292562.0
2025-05-06 20:00:00-04:00,78.56,78.62,78.36,78.52,32676256.0
2025-05-07 20:00:00-04:00,78.67,78.77,78.45,78.5,32684963.0
2025-05-08 20:00:00-04:00,78.59,78.7,78.54,78.55,23971350.0
2025-05-11 20:00:00-04:00,79.24,79.39,79.03,79.33,70558649.0
2025-05-12 20:00:00-04:00,79.38,79.58,79.315,79.47,52141964.0
2025-05-13 20:00:00-04:00,79.4,79.43,79.14,79.18,45406458.0
2025-05-14 20:00:00-04:00,79.06,79.33,79.06,79.33,49301273.0
2025-05-15 20:00:00-04:00,79.38,79.425,79.27,79.42,30657241.0
2025-05-18 20:00:00-04:00,79.06,79.39,79.05,79.38,26228977.0
2025-05-19 20:00:00-04:00,79.27,79.38,79.2115,79.34,25933735.0
2025-05-20 20:00:00-04:00,79.08,79.22,78.8,78.81,54737648.0
2025-05-21 20:00:00-04:00,78.81,79.05,78.75,78.97,43242694.0
2025-05-22 20:00:00-04:00,78.76,78.98,78.74,78.95,29598857.0
2025-05-26 20:00:00-04:00,79.28,79.44,79.165,79.43,33524697.0
2025-05-27 20:00:00-04:00,79.42,79.435,79.25,79.38,27012887.0
2025-05-28 20:00:00-04:00,79.56,79.57,79.41,79.5,28616337.0
2025-05-29 20:00:00-04:00,79.45,79.58,79.4,79.57,28930343.0
