date,open,high,low,close,volume
2024-12-16 19:00:00-05:00,62.79,63.32,61.82,62.98,6749803.0
2024-12-17 19:00:00-05:00,62.63,63.03,57.9,58.56,18189616.0
2024-12-18 19:00:00-05:00,59.75,60.03,57.465,58.17,19168010.0
2024-12-19 19:00:00-05:00,57.07,60.02,56.86,59.4,17548121.0
2024-12-22 19:00:00-05:00,59.52,59.68,58.165,59.24,7760641.0
2024-12-23 19:00:00-05:00,59.63,60.99,59.44,60.96,4801695.0
2024-12-25 19:00:00-05:00,60.72,61.135,60.04,60.96,6888985.0
2024-12-26 19:00:00-05:00,60.54,60.6,58.44,59.27,9592628.0
2024-12-29 19:00:00-05:00,58.01,58.23,56.9,57.61,8456884.0
2024-12-30 19:00:00-05:00,58.04,58.17,56.475,56.77,8702097.0
2025-01-01 19:00:00-05:00,57.1,57.63,55.94,56.89,10226044.0
2025-01-02 19:00:00-05:00,57.33,59.83,57.33,59.82,10720490.0
2025-01-05 19:00:00-05:00,60.72,61.835,60.62,61.15,8696324.0
2025-01-06 19:00:00-05:00,61.5,61.99,58.385,58.9,12926415.0
2025-01-07 19:00:00-05:00,58.7,59.46,57.69,58.95,7457767.0
2025-01-09 19:00:00-05:00,57.73,58.03,56.29,57.47,9802217.0
2025-01-12 19:00:00-05:00,56.03,56.71,55.25,56.7,9757551.0
2025-01-13 19:00:00-05:00,57.84,58.26,56.11,56.41,8423616.0
2025-01-14 19:00:00-05:00,58.47,59.49,58.08,58.67,10730510.0
2025-01-15 19:00:00-05:00,58.77,59.22,58.01,58.74,5559434.0
2025-01-16 19:00:00-05:00,59.86,60.325,59.42,59.61,5942404.0
2025-01-20 19:00:00-05:00,60.7,61.76,59.6399,61.5,7730039.0
2025-01-21 19:00:00-05:00,61.73,62.41,61.51,62.06,6656957.0
2025-01-22 19:00:00-05:00,61.5,62.765,61.02,62.69,5138674.0
2025-01-23 19:00:00-05:00,62.9,63.61,62.215,62.33,6592986.0
2025-01-26 19:00:00-05:00,59.92,61.59,59.5,60.7,12078468.0
