date,open,high,low,close,volume
2024-12-16 19:00:00-05:00,95.14,95.49,94.32,95.42,23560821.0
2024-12-17 19:00:00-05:00,95.34,95.895,93.1304,93.55,24665600.0
2024-12-18 19:00:00-05:00,94.48,94.565,93.36,93.4,16606501.0
2024-12-19 19:00:00-05:00,93.01,93.7486,91.63,92.24,49350586.0
2024-12-22 19:00:00-05:00,91.5,91.5,88.91,90.35,26205379.0
2024-12-23 19:00:00-05:00,90.37,92.68,90.35,92.68,8992427.0
2024-12-25 19:00:00-05:00,92.54,92.875,92.17,92.79,10997611.0
2024-12-26 19:00:00-05:00,92.13,92.35,91.03,91.66,11384359.0
2024-12-29 19:00:00-05:00,90.73,91.07,90.13,90.57,9790196.0
2024-12-30 19:00:00-05:00,90.57,90.94,90.055,90.35,11267652.0
2025-01-01 19:00:00-05:00,89.98,90.6,89.52,90.0,14820438.0
2025-01-02 19:00:00-05:00,90.15,91.3,90.14,90.78,10834630.0
2025-01-05 19:00:00-05:00,90.83,92.47,90.67,91.43,14519858.0
2025-01-06 19:00:00-05:00,91.7,91.94,90.45,90.81,11238044.0
2025-01-07 19:00:00-05:00,91.11,91.845,90.82,91.8,13453627.0
2025-01-09 19:00:00-05:00,92.49,93.575,92.2,93.0,18140864.0
2025-01-12 19:00:00-05:00,92.12,92.43,91.1,91.53,18617077.0
2025-01-13 19:00:00-05:00,91.86,91.98,90.565,90.79,13549159.0
2025-01-14 19:00:00-05:00,91.065,91.725,90.81,91.34,17348174.0
2025-01-15 19:00:00-05:00,91.5,91.72,90.12,91.3,13267723.0
2025-01-16 19:00:00-05:00,92.07,92.26,91.05,91.94,15868213.0
2025-01-20 19:00:00-05:00,92.48,94.24,92.31,93.08,23247451.0
2025-01-21 19:00:00-05:00,93.77,94.0,92.52,93.23,15567057.0
2025-01-22 19:00:00-05:00,92.96,93.81,92.32,93.81,14198438.0
2025-01-23 19:00:00-05:00,93.54,95.01,93.455,94.76,14973773.0
2025-01-26 19:00:00-05:00,95.9,97.46,94.82,97.4,18880614.0
2025-01-27 19:00:00-05:00,97.23,97.84,96.7251,97.29,14641621.0
2025-01-28 19:00:00-05:00,97.425,98.17,97.22,97.5,11261444.0
2025-01-29 19:00:00-05:00,97.69,98.93,97.42,98.65,11012220.0
2025-01-30 19:00:00-05:00,99.0,99.0,97.7,98.16,16413893.0
2025-02-02 19:00:00-05:00,96.77,99.79,96.47,99.54,20484152.0
2025-02-03 19:00:00-05:00,99.97,100.95,99.69,100.77,15201194.0
2025-02-04 19:00:00-05:00,100.65,102.58,100.54,102.46,15926717.0
2025-02-05 19:00:00-05:00,102.53,103.02,101.94,102.85,13088467.0
2025-02-06 19:00:00-05:00,103.0,103.11,101.11,101.15,12451072.0
2025-02-09 19:00:00-05:00,101.95,102.93,101.25,102.92,15274644.0
2025-02-10 19:00:00-05:00,102.62,102.85,101.85,102.47,11953632.0
2025-02-11 19:00:00-05:00,102.12,103.9,102.04,103.61,15162125.0
2025-02-12 19:00:00-05:00,104.0,105.24,103.53,105.05,12604413.0
2025-02-13 19:00:00-05:00,105.3,105.3,103.6,104.04,14109460.0
2025-02-17 19:00:00-05:00,103.72,103.99,102.51,103.78,18247314.0
2025-02-18 19:00:00-05:00,103.85,104.2,102.55,104.0,18507981.0
2025-02-19 19:00:00-05:00,98.78,100.12,96.6808,97.21,55450924.0
2025-02-20 19:00:00-05:00,96.53,96.85,94.115,94.78,35014806.0
2025-02-23 19:00:00-05:00,94.18,94.64,92.12,93.67,29755875.0
2025-02-24 19:00:00-05:00,94.35,97.91,94.24,97.69,29331188.0
2025-02-25 19:00:00-05:00,97.7,98.725,96.07,96.2,19069721.0
2025-02-26 19:00:00-05:00,95.9,98.0399,95.8092,96.79,16431469.0
2025-02-27 19:00:00-05:00,97.79,98.86,97.17,98.61,25451260.0
2025-03-02 19:00:00-05:00,97.98,99.49,96.825,97.59,18372193.0
2025-03-03 19:00:00-05:00,95.76,97.05,94.46,94.97,25227673.0
2025-03-04 19:00:00-05:00,94.97,96.39,94.75,95.98,17638956.0
2025-03-05 19:00:00-05:00,94.8,96.19,94.1833,94.64,19957804.0
